"series_url","series","season","winner","margin"
"http://www.espncricinfo.com/ci/engine/series/60900.html","Benson & Hedges World Series (Australia, Pakistan, Sri Lanka in Australia)","1989/90","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60902.html","Rothmans Cup Triangular Series (Australia, India, New Zealand in New Zealand)","1989/90","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60903.html","Georgetown Test Replacement Match (1) (England in West Indies)","1989/90","abandoned","0-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60904.html","Georgetown Test Replacement Match (2) (England in West Indies)","1989/90","West Indies","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60901.html","England in West Indies ODI Series","1989/90","West Indies","3-0 (5)"
"http://www.espncricinfo.com/ci/engine/series/60905.html","Austral-Asia Cup (Australia, Bangladesh, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)","1990","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60906.html","Texaco Trophy (New Zealand in England)","1990","England","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60907.html","Texaco Trophy (India in England)","1990","India","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60908.html","New Zealand in Pakistan ODI Series","1990/91","Pakistan","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60909.html","West Indies in Pakistan ODI Series","1990/91","Pakistan","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60911.html","Sri Lanka in India ODI Series","1990/91","India","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60912.html","Sharjah Cup (Pakistan, Sri Lanka in United Arab Emirates)","1990/91","Pakistan","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60913.html","Asia Cup (Bangladesh, India, Sri Lanka in India)","1990/91","India",""
"http://www.espncricinfo.com/ci/engine/series/60910.html","Benson & Hedges World Series (Australia, England, New Zealand in Australia)","1990/91","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60914.html","Sri Lanka in New Zealand ODI Series","1990/91","New Zealand","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60915.html","England in New Zealand ODI Series","1990/91","New Zealand","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60916.html","Australia in West Indies ODI Series","1990/91","Australia","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60917.html","Texaco Trophy (West Indies in England)","1991","England","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60918.html","Wills Trophy (India, Pakistan, West Indies in United Arab Emirates)","1991/92","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60919.html","South Africa in India ODI Series","1991/92","India","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60920.html","West Indies in Pakistan ODI Series","1991/92","West Indies","2-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60922.html","Sri Lanka in Pakistan ODI Series","1991/92","Pakistan","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60921.html","Benson & Hedges World Series (Australia, India, West Indies in Australia)","1991/92","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60923.html","England in New Zealand ODI Series","1991/92","England","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60924.html","Benson & Hedges World Cup (in Australia/New Zealand)","1991/92","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60925.html","South Africa in West Indies ODI Series","1991/92","West Indies","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60926.html","Texaco Trophy (Pakistan in England)","1992","England","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60927.html","Australia in Sri Lanka ODI Series","1992","Sri Lanka","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60928.html","India in Zimbabwe ODI Match","1992/93","India","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60929.html","New Zealand in Zimbabwe ODI Series","1992/93","New Zealand","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60931.html","New Zealand in Sri Lanka ODI Series","1992/93","Sri Lanka","2-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60932.html","India in South Africa ODI Series","1992/93","South Africa","5-2 (7)"
"http://www.espncricinfo.com/ci/engine/series/60933.html","Pakistan in New Zealand ODI Series","1992/93","New Zealand","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60930.html","Benson & Hedges World Series (Australia, Pakistan, West Indies in Australia)","1992/93","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60935.html","Wills Trophy (Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates)","1992/93","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60936.html","Total International Series (Pakistan, South Africa, West Indies in South Africa)","1992/93","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60937.html","Pakistan in Zimbabwe ODI Match","1992/93","Pakistan","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60934.html","England in India ODI Series","1992/93","drawn","3-3 (6)"
"http://www.espncricinfo.com/ci/engine/series/60938.html","England in Sri Lanka ODI Series","1992/93","Sri Lanka","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60940.html","Zimbabwe in India ODI Series","1992/93","India","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60939.html","Australia in New Zealand ODI Series","1992/93","Australia","3-2 (5)"
"http://www.espncricinfo.com/ci/engine/series/60941.html","Pakistan in West Indies ODI Series","1992/93","drawn","2-2 (5)"
